step,timestamp,target[0],actual[0],error[0],P[0],I[0],D[0],integral[0],output[0],target[1],actual[1],error[1],P[1],I[1],D[1],integral[1],output[1]
29,0.06,-0,-1.26232e-05,1.26232e-05,0.000126232,0,3.76369e-06,3.05096e-07,0.000129996,0,-9.5732e-07,9.5732e-07,9.5732e-06,0,7.41179e-07,8.71414e-09,1.03144e-05
30,0.062,-0,-1.34175e-05,1.34175e-05,0.000134175,0,3.97155e-06,3.31136e-07,0.000138147,0,-1.10407e-06,1.10407e-06,1.10407e-05,0,7.33768e-07,1.07755e-08,1.17745e-05
31,0.064,0,-1.09313e-05,1.09313e-05,0.000109313,0,-1.24309e-05,3.55485e-07,9.68825e-05,0,-1.79712e-06,1.79712e-06,1.79712e-05,0,3.46525e-06,1.36767e-08,2.14365e-05
32,0.066,0,-8.3e-06,8.3e-06,8.3e-05,0,-1.31567e-05,3.74717e-07,6.98432e-05,0,-2.49854e-06,2.49854e-06,2.49854e-05,0,3.50711e-06,1.79724e-08,2.84926e-05
33,0.068,-0,-5.23444e-06,5.23444e-06,5.23444e-05,0,-1.53278e-05,3.88251e-07,3.70166e-05,0,-3.12055e-06,3.12055e-06,3.12055e-05,0,3.11001e-06,2.35915e-08,3.43155e-05
34,0.07,-0,-2.22154e-06,2.22154e-06,2.22154e-05,0,-1.50645e-05,3.95707e-07,7.15095e-06,0,-3.66277e-06,3.66277e-06,3.66277e-05,0,2.71113e-06,3.03748e-08,3.93388e-05
35,0.072,-0,1.19299e-06,-1.19299e-06,-1.19299e-05,0,-1.70727e-05,3.96736e-07,-2.90025e-05,0,-4.18568e-06,4.18568e-06,4.18568e-05,0,2.61456e-06,3.82233e-08,4.44714e-05
36,0.074,-0,4.65868e-06,-4.65868e-06,-4.65868e-05,0,-1.73285e-05,3.90884e-07,-6.39153e-05,0,-4.7336e-06,4.7336e-06,4.7336e-05,0,2.73958e-06,4.71425e-08,5.00756e-05
37,0.076,-0,8.56048e-06,-8.56048e-06,-8.56048e-05,0,-1.9509e-05,3.77665e-07,-0.000105114,0,-5.4347e-06,5.4347e-06,5.4347e-05,0,3.50552e-06,5.73108e-08,5.78525e-05
38,0.078,0,1.25171e-05,-1.25171e-05,-0.000125171,0,-1.97829e-05,3.56587e-07,-0.000144954,0,-6.18229e-06,6.18229e-06,6.18229e-05,0,3.73793e-06,6.89278e-08,6.55608e-05
39,0.08,0,1.65268e-05,-1.65268e-05,-0.000165268,0,-2.00486e-05,3.27543e-07,-0.000185317,0,-6.88861e-06,6.88861e-06,6.88861e-05,0,3.5316e-06,8.19987e-08,7.24177e-05
40,0.082,0,2.06153e-05,-2.06153e-05,-0.000206153,0,-2.04427e-05,2.90401e-07,-0.000226596,0,-7.62357e-06,7.62357e-06,7.62357e-05,0,3.67482e-06,9.65109e-08,7.99105e-05
41,0.084,0,2.4781e-05,-2.4781e-05,-0.00024781,0,-2.08283e-05,2.45005e-07,-0.000268638,0,-8.26318e-06,8.26318e-06,8.26318e-05,0,3.19805e-06,1.12398e-07,8.58298e-05
42,0.086,-0,2.90308e-05,-2.90308e-05,-0.000290308,0,-2.12491e-05,1.91193e-07,-0.000311557,0,-8.96554e-06,8.96554e-06,8.96554e-05,0,3.51182e-06,1.29626e-07,9.31673e-05
43,0.088,0,3.33389e-05,-3.33389e-05,-0.000333389,0,-2.15405e-05,1.28823e-07,-0.00035493,0,-9.5131e-06,9.5131e-06,9.5131e-05,0,2.73778e-06,1.48105e-07,9.78688e-05
44,0.09,-0,3.77863e-05,-3.77863e-05,-0.000377863,0,-2.22368e-05,5.76983e-08,-0.000400099,0,-1.01157e-05,1.01157e-05,0.000101157,0,3.01298e-06,1.67734e-07,0.00010417
45,0.092,0,4.22884e-05,-4.22884e-05,-0.000422884,-0,-2.25105e-05,-2.23763e-08,-0.000445394,0,-1.05051e-05,1.05051e-05,0.000105051,0,1.94705e-06,1.88355e-07,0.000106998
46,0.094,-0,4.909e-05,-4.909e-05,-0.0004909,-0,-3.40081e-05,-1.13755e-07,-0.000524908,0,-1.10668e-05,1.10668e-05,0.000110668,0,2.80826e-06,2.09926e-07,0.000113476
47,0.096,-0,5.61147e-05,-5.61147e-05,-0.000561147,-0,-3.51238e-05,-2.18959e-07,-0.000596271,-0,-1.15267e-05,1.15267e-05,0.000115267,0,2.29972e-06,2.3252e-07,0.000117567
48,0.098,0,6.28332e-05,-6.28332e-05,-0.000628332,-0,-3.35922e-05,-3.37907e-07,-0.000661924,0,-1.26248e-05,1.26248e-05,0.000126248,0,5.49044e-06,2.56671e-07,0.000131738
49,0.1,0,6.98329e-05,-6.98329e-05,-0.000698329,-0,-3.49987e-05,-4.70574e-07,-0.000733328,-0,-1.36383e-05,1.36383e-05,0.000136383,0,5.06739e-06,2.82934e-07,0.00014145
50,0.102,0,7.68071e-05,-7.68071e-05,-0.000768071,-0,-3.48707e-05,-6.17214e-07,-0.000802942,0,-1.5359e-05,1.5359e-05,0.00015359,0,8.60372e-06,3.11932e-07,0.000162194
