step,timestamp,target[0],actual[0],error[0],P[0],I[0],D[0],integral[0],output[0],target[1],actual[1],error[1],P[1],I[1],D[1],integral[1],output[1],target[2],actual[2],error[2],P[2],I[2],D[2],integral[2],output[2]
156,0.314,0.200198,-10.0573,10.2575,5.12875,-0,46.6983,-0.342231,10,-0.214129,0.265262,-0.479391,-0.239696,-0,20.7544,-0.314045,10,0.0139315,-0.634107,0.648038,0.324019,-0,46.2785,-0.394475,10
157,0.316,0.142567,2.33028,-2.18771,-1.09385,-0,-31.113,-0.334161,-10,-0.176152,10.8717,-11.0478,-5.52391,-0,-26.4211,-0.325572,-10,0.0335849,17.9033,-17.8697,-8.93485,-0,-46.2944,-0.411697,-10
158,0.318,0.0747712,-16.185,16.2598,8.12989,-0,46.1187,-0.320089,10,-0.161054,1.20245,-1.3635,-0.68175,-0,24.2108,-0.337983,10,0.0862824,6.77586,-6.68957,-3.34479,-0,27.9503,-0.436256,10
159,0.32,0.0264338,-1.22854,1.25497,0.627486,-0,-37.512,-0.302574,-10,-0.113091,12.8678,-12.9809,-6.49046,-0,-29.0435,-0.352328,-10,0.0866569,15.8215,-15.7348,-7.86742,-0,-22.6132,-0.458681,-10
160,0.322,-0.0310328,-7.06163,7.0306,3.5153,-0,14.4391,-0.294288,10,-0.0556855,-5.56805,5.51237,2.75618,-0,46.2332,-0.359796,10,0.0867184,4.0475,-3.96079,-1.98039,-0,29.4351,-0.478376,10
161,0.324,-0.0661423,5.12379,-5.18993,-2.59497,-0,-30.5513,-0.292448,-10,-0.0543703,12.8747,-12.9291,-6.46455,-0,-46.1037,-0.367213,-10,0.120513,12.4003,-12.2798,-6.13989,-0,-20.7975,-0.494617,-10
162,0.326,-0.0623226,-2.46363,2.40131,1.20065,-0,18.9781,-0.295236,10,-0.0479371,-5.55568,5.50774,2.75387,-0,46.0921,-0.374634,10,0.11026,1.22116,-1.1109,-0.555449,-0,27.9222,-0.508008,10
163,0.328,-0.0595776,9.01876,-9.07834,-4.53917,-0,-28.6991,-0.301913,-10,-0.0858438,12.8875,-12.9734,-6.48669,-0,-46.2028,-0.3821,-10,0.145421,10.4115,-10.2661,-5.13306,-0,-22.8881,-0.519385,-10
164,0.33,-0.016192,-9.67754,9.66135,4.83068,-0,46.8492,-0.30133,10,-0.119056,4.11095,-4.23001,-2.115,-0,21.8584,-0.399303,10,0.135248,-8.08473,8.21998,4.10999,-0,46.2152,-0.521431,10
165,0.332,-0.0172653,2.94982,-2.96708,-1.48354,-0,-31.5711,-0.294636,-10,-0.109917,13.0288,-13.1387,-6.56936,-0,-22.2718,-0.416672,-10,0.127182,10.4825,-10.3554,-5.17768,-0,-46.4383,-0.523566,-10
166,0.334,-0.0442844,-4.99332,4.94903,2.47452,-0,19.7903,-0.292654,10,-0.109682,2.98824,-3.09793,-1.54896,-0,25.102,-0.432909,10,0.153967,-7.9742,8.12817,4.06409,-0,46.2088,-0.525793,10
