step,timestamp,target[0],actual[0],error[0],P[0],I[0],D[0],integral[0],output[0],target[1],actual[1],error[1],P[1],I[1],D[1],integral[1],output[1]
39,0.08,0,5.11772e-06,-5.11772e-06,-0,-0,-0,-3.04874e-07,-0,0,-1.14438e-08,1.14438e-08,0,0,0,1.3473e-08,0
40,0.082,0,6.48257e-06,-6.48257e-06,-0,-0,-0,-3.16475e-07,-0,0,-6.31902e-07,6.31902e-07,0,0,0,1.41164e-08,0
41,0.084,0,9.82313e-06,-9.82313e-06,-0,-0,-0,-3.3278e-07,-0,0,1.89504e-06,-1.89504e-06,-0,0,-0,1.28533e-08,0
42,0.086,0,8.85159e-06,-8.85159e-06,-0,-0,0,-3.51455e-07,0,0,-2.13614e-06,2.13614e-06,0,0,0,1.30944e-08,0
43,0.088,0,1.64446e-05,-1.64446e-05,-0,-0,-0,-3.76751e-07,-0,0,-9.02188e-07,9.02188e-07,0,0,-0,1.61327e-08,0
44,0.09,0,8.69313e-06,-8.69313e-06,-0,-0,0,-4.01889e-07,0,0,-4.06071e-06,4.06071e-06,0,0,0,2.10956e-08,0
45,0.092,0,1.3241e-05,-1.3241e-05,-0,-0,-0,-4.23823e-07,-0,0,1.9856e-05,-1.9856e-05,-0,0,-0,5.30027e-09,0
46,0.094,0,-8.96975e-06,8.96975e-06,0,-0,0,-4.28094e-07,0,0,1.59268e-05,-1.59268e-05,-0,-0,0,-3.04825e-08,0
47,0.096,0,-8.85704e-07,8.85704e-07,0,-0,-0,-4.18239e-07,0,0,1.71776e-05,-1.71776e-05,-0,-0,-0,-6.35869e-08,-0
48,0.098,0,2.19092e-05,-2.19092e-05,-0,-0,-0,-4.39263e-07,-0,0,1.13979e-05,-1.13979e-05,-0,-0,0,-9.21625e-08,0
49,0.1,0,3.01301e-05,-3.01301e-05,-0,-0,-0,-4.91302e-07,-0,0,1.17952e-05,-1.17952e-05,-0,-0,-0,-1.15356e-07,-0
50,0.102,0,4.8287e-05,-4.8287e-05,-0,-0,-0,-5.69719e-07,-0,0,6.35618e-06,-6.35618e-06,-0,-0,0,-1.33507e-07,0
51,0.104,0,5.69727e-05,-5.69727e-05,-0,-0,-0,-6.74979e-07,-0,0,6.13364e-06,-6.13364e-06,-0,-0,0,-1.45997e-07,0
52,0.106,0,6.68081e-05,-6.68081e-05,-0,-0,-0,-7.9876e-07,-0,0,1.61869e-07,-1.61869e-07,-0,-0,0,-1.52292e-07,0
53,0.108,0,7.65307e-05,-7.65307e-05,-0,-0,-0,-9.42098e-07,-0,0,-8.51364e-07,8.51364e-07,0,-0,0,-1.51603e-07,0
54,0.11,0,8.76529e-05,-8.76529e-05,-0,-0,-0,-1.10628e-06,-0,0,8.0658e-06,-8.0658e-06,-0,-0,-0,-1.58817e-07,-0
55,0.112,0,0.000100661,-0.000100661,-0,-0,-0,-1.2946e-06,-0,0,4.77164e-06,-4.77164e-06,-0,-0,0,-1.71655e-07,0
56,0.114,0,0.000114417,-0.000114417,-0,-0,-0,-1.50967e-06,-0,0,1.80431e-05,-1.80431e-05,-0,-0,-0,-1.94469e-07,-0
57,0.116,0,0.00013104,-0.00013104,-0,-0,-0,-1.75513e-06,-0,0,1.15913e-05,-1.15913e-05,-0,-0,0,-2.24104e-07,0
58,0.118,0,0.000147808,-0.000147808,-0,-0,-0,-2.03398e-06,-0,0,2.98305e-05,-2.98305e-05,-0,-0,-0,-2.65525e-07,-0
59,0.12,0,0.000169063,-0.000169063,-0,-0,-0,-2.35085e-06,-0,0,1.98301e-05,-1.98301e-05,-0,-0,0,-3.15186e-07,0
60,0.122,0,0.000169045,-0.000169045,-0,-0,0,-2.68896e-06,0,0,1.98077e-05,-1.98077e-05,-0,-0,0,-3.54824e-07,0
61,0.124,0,0.00016903,-0.00016903,-0,-0,0,-3.02703e-06,0,0,2.00027e-05,-2.00027e-05,-0,-0,-0,-3.94634e-07,-0
62,0.126,0,0.000169013,-0.000169013,-0,-0,0,-3.36508e-06,0,0,1.99803e-05,-1.99803e-05,-0,-0,0,-4.34617e-07,0
63,0.128,0,0.000168997,-0.000168997,-0,-0,0,-3.70309e-06,0,0,2.01751e-05,-2.01751e-05,-0,-0,-0,-4.74773e-07,-0
64,0.13,0,0.000188992,-0.000188992,-0,-0,-0,-4.06108e-06,-0,0,5.07959e-05,-5.07959e-05,-0,-0,-0,-5.45744e-07,-0
65,0.132,0,0.000168114,-0.000168114,-0,-0,0,-4.41818e-06,0,0,-2.95038e-05,2.95038e-05,0,-0,0,-5.67036e-07,0
66,0.134,0,7.50708e-05,-7.50708e-05,-0,-0,0,-4.66137e-06,0,0,-5.00417e-05,5.00417e-05,0,-0,0,-4.8749e-07,0
67,0.136,0,3.43216e-05,-3.43216e-05,-0,-0,0,-4.77076e-06,0,0,8.30182e-06,-8.30182e-06,-0,-0,-0,-4.4575e-07,-0
68,0.138,0,-9.40234e-05,9.40234e-05,0,-0,0,-4.71106e-06,0,0,2.65105e-05,-2.65105e-05,-0,-0,-0,-4.80563e-07,-0
69,0.14,0,5.57229e-05,-5.57229e-05,-0,-0,-0,-4.67276e-06,-0,0,1.12643e-05,-1.12643e-05,-0,-0,0,-5.18337e-07,0
70,0.142,0,-2.2197e-05,2.2197e-05,0,-0,0,-4.70628e-06,0,0,1.74466e-05,-1.74466e-05,-0,-0,-0,-5.47048e-07,-0
71,0.144,0,-2.41214e-05,2.41214e-05,0,-0,0,-4.65997e-06,0,0,6.74542e-05,-6.74542e-05,-0,-0,-0,-6.31949e-07,-0
72,0.146,0,-1.47259e-05,1.47259e-05,0,-0,-0,-4.62112e-06,0,0,8.078e-05,-8.078e-05,-0,-0,-0,-7.80183e-07,-0
73,0.148,0,-5.79186e-05,5.79186e-05,0,-0,0,-4.54847e-06,0,0,0.000107327,-0.000107327,-0,-0,-0,-9.68291e-07,-0
74,0.15,0,-1.52096e-05,1.52096e-05,0,-0,-0,-4.47535e-06,0,0,0.000107589,-0.000107589,-0,-0,-0,-1.18321e-06,-0
75,0.152,0,-6.37719e-05,6.37719e-05,0,-0,0,-4.39636e-06,0,0,0.000100251,-0.000100251,-0,-0,0,-1.39105e-06,0
76,0.154,0,-2.78371e-05,2.78371e-05,0,-0,-0,-4.30476e-06,0,0,5.20104e-05,-5.20104e-05,-0,-0,0,-1.54331e-06,0
77,0.156,0,-3.07828e-05,3.07828e-05,0,-0,0,-4.24614e-06,0,0,4.19009e-05,-4.19009e-05,-0,-0,0,-1.63722e-06,0
78,0.158,0,-2.25694e-05,2.25694e-05,0,-0,-0,-4.19278e-06,0,0,-2.57228e-05,2.57228e-05,0,-0,0,-1.6534e-06,0
79,0.16,0,-7.1984e-05,7.1984e-05,0,-0,0,-4.09823e-06,0,0,-2.79041e-05,2.79041e-05,0,-0,0,-1.59977e-06,0
80,0.162,0,-4.28209e-05,4.28209e-05,0,-0,-0,-3.98343e-06,0,0,-8.677e-05,8.677e-05,0,-0,0,-1.4851e-06,0
81,0.164,0,-8.41031e-05,8.41031e-05,0,-0,0,-3.8565e-06,0,0,-7.02727e-05,7.02727e-05,0,-0,-0,-1.32805e-06,0
82,0.166,0,-7.67114e-05,7.67114e-05,0,-0,-0,-3.69569e-06,0,0,2.05944e-05,-2.05944e-05,-0,-0,-0,-1.27837e-06,-0
83,0.168,0,-9.28645e-05,9.28645e-05,0,-0,0,-3.52611e-06,0,0,3.24536e-05,-3.24536e-05,-0,-0,-0,-1.33142e-06,-0
84,0.17,0,0.000151524,-0.000151524,-0,-0,-0,-3.58477e-06,-0,0,-8.85424e-05,8.85424e-05,0,-0,0,-1.27533e-06,0
85,0.172,0,0.000123596,-0.000123596,-0,-0,0,-3.85989e-06,0,0,-9.29438e-05,9.29438e-05,0,-0,0,-1.09385e-06,0
86,0.174,0,0.000152116,-0.000152116,-0,-0,-0,-4.1356e-06,-0,0,-2.54702e-05,2.54702e-05,0,-0,-0,-9.75433e-07,0
87,0.176,0,0.000127859,-0.000127859,-0,-0,0,-4.41558e-06,0,0,-3.28472e-05,3.28472e-05,0,-0,0,-9.17116e-07,0
88,0.178,0,0.000173941,-0.000173941,-0,-0,-0,-4.71738e-06,-0,0,9.30629e-05,-9.30629e-05,-0,-0,-0,-9.77332e-07,-0
89,0.18,0,0.000156157,-0.000156157,-0,-0,0,-5.04747e-06,0,0,7.75825e-05,-7.75825e-05,-0,-0,0,-1.14798e-06,0
90,0.182,0,0.000271456,-0.000271456,-0,-0,-0,-5.47509e-06,-0,0,0.000147435,-0.000147435,-0,-0,-0,-1.37299e-06,-0
91,0.184,0,0.000257942,-0.000257942,-0,-0,0,-6.00448e-06,0,0,0.000123336,-0.000123336,-0,-0,0,-1.64377e-06,0
92,0.186,0,0.00056116,-0.00056116,-0,-0,-0,-6.82359e-06,-0,0,0.000216767,-0.000216767,-0,-0,-0,-1.98387e-06,-0
93,0.188,0,0.000545692,-0.000545692,-0,-0,0,-7.93044e-06,0,0,0.000156356,-0.000156356,-0,-0,0,-2.35699e-06,0
94,0.19,0,0.000747106,-0.000747106,-0,-0,-0,-9.22324e-06,-0,0,0.000180757,-0.000180757,-0,-0,-0,-2.69411e-06,-0
95,0.192,0,0.000721322,-0.000721322,-0,-0,0,-1.06917e-05,0,0,9.05566e-05,-9.05566e-05,-0,-0,0,-2.96542e-06,0
96,0.194,0,0.000665575,-0.000665575,-0,-0,0,-1.20786e-05,0,0,3.2166e-05,-3.2166e-05,-0,-0,0,-3.08814e-06,0
97,0.196,0,0.00072294,-0.00072294,-0,-0,-0,-1.34671e-05,-0,0,-5.12271e-05,5.12271e-05,0,-0,0,-3.06908e-06,0
98,0.198,0,0.000602736,-0.000602736,-0,-0,0,-1.47928e-05,0,0,-7.78025e-05,7.78025e-05,0,-0,0,-2.94005e-06,0
99,0.2,0,0.000671787,-0.000671787,-0,-0,-0,-1.60673e-05,-0,0,-0.000171491,0.000171491,0,-0,0,-2.69076e-06,0
100,0.202,0,0.000498375,-0.000498375,-0,-0,0,-1.72374e-05,0,0,-0.000150722,0.000150722,0,-0,-0,-2.36854e-06,0
101,0.204,0,0.000302471,-0.000302471,-0,-0,0,-1.80383e-05,0,0,-0.000515173,0.000515173,0,-0,0,-1.70265e-06,0
102,0.206,0,0.000184165,-0.000184165,-0,-0,0,-1.85249e-05,0,0,-0.000523205,0.000523205,0,-0,0,-6.64272e-07,0
103,0.208,0,-0.000401886,0.000401886,0,-0,0,-1.83072e-05,0,0,-0.000935839,0.000935839,0,0,0,7.94771e-07,0
