step,timestamp,target,actual,error,P,I,D,integral,output
86,0.174,0,-0.0819473,0.0819473,0,0,0,0.00105726,0
87,0.176,0,0.0532798,-0.0532798,-0,0,-0,0.00108593,0
88,0.178,0,-0.0787691,0.0787691,0,0,0,0.00111142,0
89,0.18,0,0.0565359,-0.0565359,-0,0,-0,0.00113365,0
90,0.182,0,-0.0758026,0.0758026,0,0,0,0.00115292,0
91,0.184,0,0.0595271,-0.0595271,-0,0,-0,0.00116919,0
92,0.186,0,-0.0732393,0.0732393,0,0,0,0.0011829,0
93,0.188,0,0.0621189,-0.0621189,-0,0,-0,0.00119402,0
94,0.19,0,-0.0711402,0.0711402,0,0,0,0.00120304,0
95,0.192,0,0.0642707,-0.0642707,-0,0,-0,0.00120991,0
96,0.194,0,-0.0688108,0.0688108,0,0,0,0.00121445,0
97,0.196,0,0.0669954,-0.0669954,-0,0,-0,0.00121627,0
98,0.198,0,-0.0661298,0.0661298,0,0,0,0.0012154,0
99,0.2,0,0.0702592,-0.0702592,-0,0,-0,0.00121127,0
100,0.202,0,-0.0632936,0.0632936,0,0,0,0.00120431,0
101,0.204,0,0.073262,-0.073262,-0,0,-0,0.00119434,0
102,0.206,0,-0.0611615,0.0611615,0,0,0,0.00118224,0
103,0.208,0,0.0750954,-0.0750954,-0,0,-0,0.00116831,0
104,0.21,0,-0.0601533,0.0601533,0,0,0,0.00115336,0
105,0.212,0,0.0741107,-0.0741107,-0,0,-0,0.00113941,0
106,0.214,0,-0.0615897,0.0615897,0,0,0,0.00112689,0
107,0.216,0,0.0715935,-0.0715935,-0,0,-0,0.00111688,0
108,0.218,0,-0.0642474,0.0642474,0,0,0,0.00110954,0
109,0.22,0,0.0686317,-0.0686317,-0,0,-0,0.00110515,0
110,0.222,0,-0.0674551,0.0674551,0,0,0,0.00110398,0
111,0.224,0,0.0658359,-0.0658359,-0,0,-0,0.00110559,0
112,0.226,0,-0.0706293,0.0706293,0,0,0,0.00111039,0
113,0.228,0,0.0636367,-0.0636367,-0,0,-0,0.00111738,0
114,0.23,0,-0.0740312,0.0740312,0,0,0,0.00112777,0
115,0.232,0,0.0607817,-0.0607817,-0,0,-0,0.00114102,0
116,0.234,0,-0.077236,0.077236,0,0,0,0.00115748,0
117,0.236,0,0.0581931,-0.0581931,-0,0,-0,0.00117652,0
118,0.238,0,-0.079732,0.079732,0,0,0,0.00119806,0
119,0.24,0,0.0565103,-0.0565103,-0,0,-0,0.00122128,0
120,0.242,0,-0.0809251,0.0809251,0,0,0,0.0012457,0
121,0.244,0,0.0559497,-0.0559497,-0,0,-0,0.00127067,0
122,0.246,0,-0.0811446,0.0811446,0,0,0,0.00129587,0
123,0.248,0,0.0559485,-0.0559485,-0,0,-0,0.00132106,0
124,0.25,0,-0.0812712,0.0812712,0,0,0,0.00134639,0
125,0.252,0,0.0561021,-0.0561021,-0,0,-0,0.00137155,0
126,0.254,0,-0.0813477,0.0813477,0,0,0,0.0013968,0
127,0.256,0,0.0559777,-0.0559777,-0,0,-0,0.00142217,0
128,0.258,0,-0.0814986,0.0814986,0,0,0,0.00144769,0
129,0.26,0,0.055087,-0.055087,-0,0,-0,0.0014741,0
130,0.262,0,-0.082352,0.082352,0,0,0,0.00150137,0
131,0.264,0,0.0536672,-0.0536672,-0,0,-0,0.00153005,0
132,0.266,0,-0.0833375,0.0833375,0,0,0,0.00155972,0
133,0.268,0,0.0524787,-0.0524787,-0,0,-0,0.00159058,0
134,0.27,0,-0.082332,0.082332,0,0,0,0.00162044,0
135,0.272,0,0.054171,-0.054171,-0,0,-0,0.0016486,0
136,0.274,0,-0.0798623,0.0798623,0,0,0,0.00167429,0
137,0.276,0,0.056069,-0.056069,-0,0,-0,0.00169808,0
138,0.278,0,-0.0802616,0.0802616,0,0,0,0.00172227,0
139,0.28,0,0.0553971,-0.0553971,-0,0,-0,0.00174714,0
140,0.282,0,-0.0804934,0.0804934,0,0,0,0.00177223,0
141,0.284,0,0.0533265,-0.0533265,-0,0,-0,0.0017994,0
142,0.286,0,-0.0813658,0.0813658,0,0,0,0.00182744,0
143,0.288,0,0.0511483,-0.0511483,-0,0,-0,0.00185766,0
144,0.29,0,-0.0825371,0.0825371,0,0,0,0.00188905,0
145,0.292,0,0.0482815,-0.0482815,-0,0,-0,0.0019233,0
146,0.294,0,-0.0852516,0.0852516,0,0,0,0.00196027,0
147,0.296,0,0.0454132,-0.0454132,-0,0,-0,0.00200011,0
148,0.298,0,-0.0888004,0.0888004,0,0,0,0.0020435,0
149,0.3,0,0.0417071,-0.0417071,-0,0,-0,0.00209059,0
150,0.302,0,-0.0924497,0.0924497,0,0,0,0.00214133,0
151,0.304,0,0.0375027,-0.0375027,-0,0,-0,0.00219628,0
152,0.306,0,-0.0945093,0.0945093,0,0,0,0.00225329,0
153,0.308,0,0.0340049,-0.0340049,-0,0,-0,0.00231379,0
154,0.31,0,-0.0974509,0.0974509,0,0,0,0.00237724,0
155,0.312,0,0.0282955,-0.0282955,-0,0,-0,0.00244639,0
156,0.314,0,-0.0310642,0.0310642,0,0,0,0.00244916,0
157,0.316,0,-0.0723083,0.0723083,0,0,0,0.00255253,0
158,0.318,0,-0.09965,0.09965,0,0,0,0.00272449,0
159,0.32,0,-0.0584283,0.0584283,0,0,-0,0.00288257,0
160,0.322,0,-0.163316,0.163316,0,0,0,0.00310432,0
161,0.324,0,-0.0755558,0.0755558,0,0,-0,0.00334319,0
162,0.326,0,-0.127798,0.127798,0,0,0,0.00354654,0
163,0.328,0,-0.0545476,0.0545476,0,0,-0,0.00372889,0
164,0.33,0,-0.107893,0.107893,0,0,0,0.00389133,0
165,0.332,0,-0.157858,0.157858,0,0,0,0.00415708,0
166,0.334,0,-0.19189,0.19189,0,0,0,0.00450683,0
167,0.336,0,-0.106194,0.106194,0,0,-0,0.00480491,0
168,0.338,0,-0.152578,0.152578,0,0,0,0.00506368,0
169,0.34,0,-0.0853034,0.0853034,0,0,-0,0.00530156,0
170,0.342,0,-0.186526,0.186526,0,0,0,0.00557339,0
171,0.344,0,-0.20508,0.20508,0,0,0,0.005965,0
172,0.346,0,-0.151214,0.151214,0,0,-0,0.00632129,0
173,0.348,0,-0.184021,0.184021,0,0,0,0.00665653,0
174,0.35,0,-0.215361,0.215361,0,0,0,0.00705591,0
175,0.352,0,-0.127019,0.127019,0,0,-0,0.00739829,0
176,0.354,0,-0.17024,0.17024,0,0,0,0.00769555,0
